"","result.all"
"DEN versus all",0.877310924369748
"NYC versus all",0.96969696969697
"SAC versus all",0.684920634920635
"BAL versus all",0.901754385964912
"MIN versus all",0.933333333333333
"SAN versus all",0.923976608187134
"+ DEN NYC +",0.982174688057041
"+ DEN SAC +",0.941176470588235
"+ DEN BAL +",0.823529411764706
"+ DEN MIN +",0.994117647058824
"+ DEN SAN +",0.849673202614379
"+ NYC SAC +",1
"+ NYC BAL +",0.919191919191919
"+ NYC MIN +",0.945454545454545
"+ NYC SAN +",0.895622895622896
"+ SAC BAL +",1
"+ SAC MIN +",1
"+ SAC SAN +",0.992063492063492
"+ BAL MIN +",0.933333333333333
"+ BAL SAN +",1
"+ MIN SAN +",0.911111111111111
