sample	count_std
gCSD16_DEN_1	433
gCSD16_DEN_10	2054
gCSD16_DEN_11	1120
gCSD16_DEN_12	6772
gCSD16_DEN_13	2247
gCSD16_DEN_14	1288
gCSD16_DEN_15	1043
gCSD16_DEN_16	475
gCSD16_DEN_17	2457
gCSD16_DEN_18	3745
gCSD16_DEN_19	3670
gCSD16_DEN_2	657
gCSD16_DEN_20	674
gCSD16_DEN_21	779
gCSD16_DEN_22	5930
gCSD16_DEN_3	1765
gCSD16_DEN_4	6398
gCSD16_DEN_5	1195
gCSD16_DEN_6	3379
gCSD16_DEN_7	2048
gCSD16_DEN_8	646
gCSD16_DEN_9	1222
gCSD16_NYC_1	6227
gCSD16_NYC_10	17584
gCSD16_NYC_11	2260
gCSD16_NYC_12	4777
gCSD16_NYC_13	3635
gCSD16_NYC_14	9476
gCSD16_NYC_15	1559
gCSD16_NYC_16	10892
gCSD16_NYC_17	7872
gCSD16_NYC_18	4715
gCSD16_NYC_19	5626
gCSD16_NYC_2	3309
gCSD16_NYC_20	4447
gCSD16_NYC_21	5609
gCSD16_NYC_22	7597
gCSD16_NYC_23	5693
gCSD16_NYC_24	1761
gCSD16_NYC_25	6112
gCSD16_NYC_26	6035
gCSD16_NYC_3	3444
gCSD16_NYC_4	6085
gCSD16_NYC_5	6663
gCSD16_NYC_6	8090
gCSD16_NYC_7	3893
gCSD16_NYC_8	9077
gCSD16_NYC_9	8621
gCSD16_SAC_1	1729
gCSD16_SAC_10	2451
gCSD16_SAC_11	2273
gCSD16_SAC_12	2112
gCSD16_SAC_13	1957
gCSD16_SAC_14	2806
gCSD16_SAC_15	2062
gCSD16_SAC_16	977
gCSD16_SAC_2	2009
gCSD16_SAC_3	1528
gCSD16_SAC_4	2333
gCSD16_SAC_5	1835
gCSD16_SAC_6	2247
gCSD16_SAC_7	1429
gCSD16_SAC_8	1845
gCSD16_SAC_9	2088
gCSD17_BAL_1	1139
gCSD17_BAL_10	793
gCSD17_BAL_11	745
gCSD17_BAL_12	934
gCSD17_BAL_13	955
gCSD17_BAL_14	574
gCSD17_BAL_2	996
gCSD17_BAL_3	1385
gCSD17_BAL_4	467
gCSD17_BAL_5	436
gCSD17_BAL_6	414
gCSD17_BAL_7	858
gCSD17_BAL_8	832
gCSD17_BAL_9	809
gCSD17_DEN_1	484
gCSD17_DEN_10	2585
gCSD17_DEN_11	928
gCSD17_DEN_12	1696
gCSD17_DEN_13	832
gCSD17_DEN_14	989
gCSD17_DEN_15	1719
gCSD17_DEN_16	1585
gCSD17_DEN_17	938
gCSD17_DEN_18	1649
gCSD17_DEN_19	753
gCSD17_DEN_2	1251
gCSD17_DEN_20	710
gCSD17_DEN_21	1215
gCSD17_DEN_22	708
gCSD17_DEN_23	771
gCSD17_DEN_3	446
gCSD17_DEN_4	504
gCSD17_DEN_5	792
gCSD17_DEN_6	578
gCSD17_DEN_7	556
gCSD17_DEN_8	1620
gCSD17_DEN_9	1010
gCSD17_MIN_1	1773
gCSD17_MIN_2	1647
gCSD17_MIN_3	1795
gCSD17_MIN_4	1990
gCSD17_MIN_5	2162
gCSD17_MIN_6	1666
gCSD17_NYC_1	1602
gCSD17_NYC_10	1066
gCSD17_NYC_11	4198
gCSD17_NYC_12	2379
gCSD17_NYC_13	1358
gCSD17_NYC_14	1821
gCSD17_NYC_15	831
gCSD17_NYC_16	938
gCSD17_NYC_17	2113
gCSD17_NYC_18	1752
gCSD17_NYC_19	1203
gCSD17_NYC_2	1866
gCSD17_NYC_20	1169
gCSD17_NYC_3	855
gCSD17_NYC_4	1284
gCSD17_NYC_5	1030
gCSD17_NYC_6	1083
gCSD17_NYC_7	1623
gCSD17_NYC_8	1047
gCSD17_NYC_9	954
gCSD17_SAN_1	2060
gCSD17_SAN_10	1316
gCSD17_SAN_11	747
gCSD17_SAN_12	825
gCSD17_SAN_13	652
gCSD17_SAN_14	832
gCSD17_SAN_15	1665
gCSD17_SAN_16	679
gCSD17_SAN_2	1680
gCSD17_SAN_3	981
gCSD17_SAN_4	1651
gCSD17_SAN_5	1920
gCSD17_SAN_6	1270
gCSD17_SAN_7	1164
gCSD17_SAN_8	781
gCSD17_SAN_9	893
